date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2016-05-31,NKE,USD,0000320187,2016-07-21,2016-07-21 16:11:03,2016,FY,3138000000,2319000000,5457000000,3241000000,3241000000,0,4838000000,1489000000,0,15025000000,3520000000,131000000,281000000,412000000,0,2422000000,0,6354000000,0,21379000000,2706000000,2191000000,515000000,1004000000,45000000,0,85000000,0,1603000000,5358000000,1993000000,0,0,1770000000,0,3763000000,0,0,9121000000,0,0,3000000,4151000000,7786000000,318000000,0,12258000000,12258000000,0,21379000000,2319000000,2038000000,-1100000000
2017-05-31,NKE,USD,0000320187,2017-07-20,2017-07-20 16:18:16,2017,FY,3808000000,2371000000,6179000000,3677000000,3677000000,0,5055000000,1150000000,0,16061000000,3989000000,139000000,283000000,422000000,0,2787000000,0,7198000000,0,23259000000,2628000000,2048000000,580000000,1080000000,331000000,0,84000000,0,1435000000,5474000000,3471000000,0,0,1907000000,0,5378000000,0,0,10852000000,0,0,3000000,6907000000,5710000000,-213000000,0,12407000000,12407000000,0,23259000000,2371000000,3802000000,-6000000
2018-05-31,NKE,USD,0000320187,2018-07-25,2018-07-24 18:22:39,2018,FY,4249000000,996000000,5245000000,3498000000,3498000000,0,5261000000,1130000000,0,15134000000,4454000000,154000000,285000000,439000000,0,2509000000,0,7402000000,0,22536000000,2973000000,2279000000,694000000,1176000000,342000000,0,150000000,0,1549000000,6040000000,3468000000,0,0,3216000000,0,6684000000,0,0,12724000000,0,0,3000000,3517000000,6384000000,-92000000,0,9812000000,9812000000,0,22536000000,996000000,3810000000,-439000000
2019-05-31,NKE,USD,0000320187,2019-07-23,2019-07-23 16:13:55,2019,FY,4466000000,197000000,4663000000,4272000000,4272000000,0,5622000000,1968000000,0,16525000000,4744000000,154000000,283000000,437000000,0,2011000000,0,7192000000,0,23717000000,3421000000,2612000000,809000000,1215000000,15000000,0,229000000,0,3215000000,7866000000,3464000000,0,0,3347000000,0,6811000000,0,0,14677000000,0,0,3000000,1643000000,7163000000,231000000,0,9040000000,9040000000,0,23717000000,197000000,3479000000,-987000000
2020-05-31,NKE,USD,0000320187,2020-07-24,2020-07-24 16:07:45,2020,FY,8348000000,439000000,8787000000,2749000000,2749000000,0,7367000000,1653000000,0,20556000000,7963000000,223000000,274000000,497000000,0,2326000000,0,10786000000,0,31342000000,2404000000,2248000000,156000000,2353000000,251000000,445000000,156000000,0,2831000000,8284000000,9406000000,2913000000,0,2684000000,0,15003000000,0,3358000000,23287000000,0,0,3000000,-191000000,8299000000,-56000000,0,8055000000,8055000000,0,31342000000,439000000,13015000000,4667000000
2021-05-31,NKE,USD,0000320187,2021-07-20,2021-07-20 16:11:03,2021,FY,9889000000,3587000000,13476000000,4463000000,4463000000,0,6854000000,1498000000,0,26291000000,8017000000,242000000,269000000,511000000,0,2921000000,0,11449000000,0,37740000000,3142000000,2836000000,306000000,3156000000,2000000,467000000,306000000,0,2907000000,9674000000,9413000000,2931000000,0,2955000000,0,15299000000,0,3398000000,24973000000,0,0,3000000,3179000000,9965000000,-380000000,0,12767000000,12767000000,0,37740000000,3587000000,12813000000,2924000000
2022-05-31,NKE,USD,0000320187,2022-07-21,2022-07-21 16:05:53,2022,FY,8574000000,4423000000,12997000000,4667000000,4667000000,0,8420000000,2129000000,0,28213000000,7717000000,284000000,286000000,570000000,0,3821000000,0,12108000000,0,40321000000,4065000000,3358000000,707000000,2530000000,510000000,420000000,222000000,0,3205000000,10730000000,8920000000,2777000000,0,2613000000,0,14310000000,0,3197000000,25040000000,0,0,3000000,3476000000,11484000000,318000000,0,15281000000,15281000000,0,40321000000,4423000000,12627000000,4053000000
2023-05-31,NKE,USD,0000320187,2023-07-20,2023-07-20 16:20:36,2023,FY,7441000000,3234000000,10675000000,4131000000,4131000000,0,8454000000,0,1942000000,25202000000,8004000000,281000000,274000000,555000000,0,0,3770000000,12329000000,0,37531000000,3631000000,2862000000,769000000,1911000000,6000000,425000000,240000000,0,3283000000,9256000000,8927000000,2786000000,0,0,2558000000,14271000000,0,3211000000,23527000000,0,0,3000000,1358000000,12412000000,231000000,0,14004000000,14004000000,0,37531000000,3234000000,12144000000,4703000000
2024-05-31,NKE,USD,0000320187,2024-07-25,2024-07-25 16:16:58,2024,FY,9860000000,1722000000,11582000000,4427000000,4427000000,0,7519000000,0,1854000000,25382000000,7718000000,240000000,259000000,499000000,0,0,4511000000,12728000000,0,38110000000,3948000000,2851000000,1097000000,2011000000,1006000000,477000000,534000000,0,3151000000,10593000000,7903000000,2566000000,0,0,2618000000,13087000000,0,3043000000,23680000000,0,0,3000000,965000000,13409000000,53000000,0,14430000000,14430000000,0,38110000000,1722000000,11952000000,2092000000
2025-05-31,NKE,USD,0000320187,2025-07-17,2025-07-17 16:25:25,2025,FY,7464000000,1687000000,9151000000,4717000000,4717000000,0,7489000000,0,2005000000,23362000000,7540000000,240000000,259000000,499000000,0,0,5178000000,13217000000,0,36579000000,4746000000,3479000000,1267000000,1753000000,5000000,502000000,669000000,0,3560000000,10566000000,7961000000,2550000000,0,0,2289000000,12800000000,0,3052000000,23366000000,0,0,3000000,-727000000,14195000000,-258000000,0,13213000000,13213000000,0,36579000000,1687000000,11018000000,3554000000
