date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2016-05-31,NKE,USD,0000320187,2016-07-21,2016-07-21 16:11:03,2016,FY,32376000000,17405000000,14971000000,0,7191000000,3278000000,10469000000,0,10469000000,27874000000,-21000000,12000000,33000000,662000000,5164000000,4502000000,0,4502000000,121000000,4623000000,863000000,3760000000,0,0,3760000000,0,3760000000,2.21,2.16,1697900000,1742500000
2017-05-31,NKE,USD,0000320187,2017-07-20,2017-07-20 16:18:16,2017,FY,34350000000,19038000000,15312000000,0,7222000000,3341000000,10563000000,0,10563000000,29601000000,-55000000,27000000,82000000,716000000,5465000000,4749000000,0,4749000000,137000000,4886000000,646000000,4240000000,0,0,4240000000,0,4240000000,2.56,2.51,1657800000,1692000000
2018-05-31,NKE,USD,0000320187,2018-07-25,2018-07-24 18:22:39,2018,FY,36397000000,20441000000,15956000000,0,7934000000,3577000000,11511000000,0,11511000000,31952000000,-47000000,70000000,117000000,774000000,5219000000,4445000000,0,4445000000,-120000000,4325000000,2392000000,1933000000,0,0,1933000000,0,1933000000,1.19,1.17,1623800000,1659100000
2019-05-31,NKE,USD,0000320187,2019-07-23,2019-07-23 16:13:55,2019,FY,39117000000,21643000000,17474000000,0,8949000000,3753000000,12702000000,0,12702000000,34345000000,-42000000,82000000,124000000,720000000,5492000000,4772000000,0,4772000000,29000000,4801000000,772000000,4029000000,0,0,4029000000,0,4029000000,2.55,2.49,1579700000,1618400000
2020-05-31,NKE,USD,0000320187,2020-07-24,2020-07-24 16:07:45,2020,FY,37403000000,21162000000,16241000000,0,9534000000,3592000000,13126000000,0,13126000000,34288000000,-82000000,62000000,144000000,1119000000,4234000000,3115000000,0,3115000000,-228000000,2887000000,348000000,2539000000,0,0,2539000000,0,2539000000,1.63,1.6,1558800000,1591600000
2021-05-31,NKE,USD,0000320187,2021-07-20,2021-07-20 16:11:03,2021,FY,44538000000,24576000000,19962000000,0,9911000000,3114000000,13025000000,0,13025000000,37601000000,-255000000,34000000,289000000,797000000,7734000000,6937000000,0,6937000000,-276000000,6661000000,934000000,5727000000,0,0,5727000000,0,5727000000,3.64,3.56,1573000000,1609400000
2022-05-31,NKE,USD,0000320187,2022-07-21,2022-07-21 16:05:53,2022,FY,46710000000,25231000000,21479000000,0,10954000000,3850000000,14804000000,0,14804000000,40035000000,-198000000,94000000,292000000,840000000,7515000000,6675000000,0,6675000000,-24000000,6651000000,605000000,6046000000,0,0,6046000000,0,6046000000,3.83,3.75,1578800000,1610800000
2023-05-31,NKE,USD,0000320187,2023-07-20,2023-07-20 16:20:36,2023,FY,51217000000,28925000000,22292000000,0,12317000000,4060000000,16377000000,0,16377000000,45302000000,14000000,297000000,283000000,859000000,6774000000,5915000000,0,5915000000,286000000,6201000000,1131000000,5070000000,0,0,5070000000,0,5070000000,3.27,3.23,1551600000,1569800000
2024-05-31,NKE,USD,0000320187,2024-07-25,2024-07-25 16:16:58,2024,FY,51362000000,28475000000,22887000000,0,12291000000,4285000000,16576000000,0,16576000000,45051000000,169000000,430000000,261000000,844000000,7155000000,6311000000,0,6311000000,389000000,6700000000,1000000000,5700000000,0,0,5700000000,0,5700000000,3.76,3.73,1517600000,1529700000
2025-05-31,NKE,USD,0000320187,2025-07-17,2025-07-17 16:25:25,2025,FY,46309000000,26519000000,19790000000,0,11399000000,4689000000,16088000000,0,16088000000,42607000000,115000000,404000000,289000000,808000000,4510000000,3702000000,0,3702000000,183000000,3885000000,666000000,3219000000,0,0,3219000000,0,3219000000,2.17,2.16,1484900000,1487600000
